0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:13:50 +0900] "GET /practice/kyr.html HTTP/1.1" 200 14114
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:22:41 +0900] "GET /practice/kyr.html HTTP/1.1" 200 14211
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:26:47 +0900] "GET /practice/kyr.html HTTP/1.1" 200 14245
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:26:48 +0900] "GET /practice/kyr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:26:58 +0900] "GET /practice/kyr.html HTTP/1.1" 200 14238
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:26:58 +0900] "GET /practice/kyr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:26:58 +0900] "GET /practice/kyr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:29:54 +0900] "GET /practice/kyr.html HTTP/1.1" 200 14231
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:29:55 +0900] "GET /practice/kyr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:39:24 +0900] "GET /practice/kyr.html HTTP/1.1" 200 14172
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:39:25 +0900] "GET /practice/kyr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:39:26 +0900] "GET /practice/kyr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:40:56 +0900] "GET /practice/kyr.html HTTP/1.1" 200 14198
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:40:57 +0900] "GET /practice/kyr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:43:12 +0900] "GET /practice/kyr.html HTTP/1.1" 200 14304
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:43:13 +0900] "GET /practice/kyr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:43:42 +0900] "GET /practice/kyr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:43:43 +0900] "GET /practice/kyr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:44:05 +0900] "GET /practice/kyr.html HTTP/1.1" 200 14329
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:44:06 +0900] "GET /practice/kyr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:44:07 +0900] "GET /practice/kyr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:44:32 +0900] "GET /practice/kyr.html HTTP/1.1" 200 14349
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:45:41 +0900] "GET /practice/kyr.html HTTP/1.1" 200 14376
0:0:0:0:0:0:0:1 - - [14/Jun/2020:15:45:41 +0900] "GET /practice/kyr.html HTTP/1.1" 304 -
